Price,Age,Engine_Durability,Model_Honda/Volvo/Ford,Model_Isuzu/MG,Model_Jeep/Skoda,Model_Kia/Audi/Maz/Mini/Suz/Land/VW,Model_LDV/GWM,Model_Lexus/BMW,Model_Mit/Hyun/Benz/Ren/Nis/Sub/Toy,Body_Coupe/Convertible,Body_Hatchback,Body_Sedan,Body_Wagon,Transmission_Manual,Drive_AWD,Drive_Rear,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Unleaded
15500.0,6,100.82,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6499.0,17,182.24999999999997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9000.0,13,74.41999999999999,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
35990.0,3,80.65599999999999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
16490.0,10,131.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8999.0,19,138.01666666666665,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35207.0,5,80.65599999999999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24990.0,7,94.51875,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
29990.0,5,104.976,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
21990.0,9,47.29090909090908,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17999.0,4,108.375,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
27990.0,7,59.64545454545454,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29990.0,4,100.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7990.0,14,131.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26650.0,2,100.82,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
35788.0,7,100.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21198.0,4,126.02499999999999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
19999.0,4,86.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22999.0,4,138.1263157894737,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
22990.0,3,148.83999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25999.0,7,104.976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20990.0,7,131.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13499.0,7,65.02499999999999,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35810.0,1,74.41999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24980.0,7,127.51249999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8990.0,10,140.02777777777777,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23990.0,5,100.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22950.0,6,74.41999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24990.0,4,100.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28993.0,8,80.65599999999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
19990.0,10,100.82,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26990.0,7,85.80499999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33888.0,3,134.42666666666665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28990.0,10,98.41499999999999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19990.0,3,116.28124999999997,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
25990.0,6,59.53599999999999,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
13999.0,10,131.22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
14998.0,8,157.53125,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
29990.0,8,37.209999999999994,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
27490.0,6,100.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33850.0,10,118.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
